pl_name,hostname,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_insol,pl_orbsmax,pl_orbper,pl_orbeccen,st_teff,st_rad,st_mass,st_lum,st_logg,KMeans_Cluster,HZ_Status,ESI
Kepler-791 b,Kepler-791,3.05,9.53,1.85,939.0,140.057,0.1256,14.5539759,0.0,6383.0,1.47,1.3,0.40273,4.21,3,Outside HZ,0.5125440453700274
WASP-177 b,WASP-177,17.71022,161.45764,0.172,1142.0,279.7736,0.03957,3.071722,,5017.0,0.885,0.876,-0.41167,4.486,2,Outside HZ,0.22710111223275595
TIC 198190129 b,TIC 198190129,2.92284949,8.87,1.95,,,,7.94804910667,,4377.53,0.640675,0.638,-0.99152,4.6742,0,Unknown,
HATS-67 b,HATS-67,18.887165,460.8535,0.374,2193.0,3821.0,0.03032,1.6091788,0.057,6594.0,1.441,1.435,0.54654,4.278,2,Outside HZ,0.1925317787419127
Kepler-1780 b,Kepler-1780,3.60600667,12.7,1.49,340.0,3.14,0.4276,109.4449997,0.0,5403.0,0.868,0.868,-0.2166,4.5,0,Outside HZ,0.6704590107955031
TOI-1062 b,TOI-1062,2.265,10.15,4.85,1077.0,232.0,0.052,4.11296,0.177,5328.0,0.84,0.94,-0.27446,4.55,3,Outside HZ,0.5669639887502619
K2-125 b,K2-125,2.18,5.39,2.86,321.22,2.0,0.121,21.750264,0.08,3654.47,0.402049,0.494727,-1.64124,4.83016,0,Outside HZ,0.8090752839437743
TOI-3082 b,TOI-3082,3.6621,13.0,1.45,941.6691924892093,131.648,,1.926907,,4263.0,0.6847,0.664,-0.86121,4.625,3,Outside HZ,0.47863378491009034
HD 330075 b,HD 330075,14.3,152.5584,0.287,1149.515452982868,292.3345,0.04,3.38773,0.0,5000.0,0.84,0.47,-0.33,4.26,2,Outside HZ,0.25803994687248977
Kepler-1996 c,Kepler-1996,2.81,8.3,2.06,276.0,1.38,0.3608,92.7297248,0.0,4580.0,0.675,0.748,-0.65721,4.641,0,Optimistic HZ,0.7568075917597904
Kepler-1623 b,Kepler-1623,1.31,2.27,5.55,1097.6960535715918,243.08,0.0518,4.36128348,0.0,5772.0,1.0,1.0,-0.17154,4.44,3,Outside HZ,0.6235430033869891
HD 27442 b,HD 27442,13.5,495.8,1.11,369.62,4.3915,1.271,428.1,0.06,4846.0,3.18,1.23,0.8509,3.783,1,Outside HZ,0.46922839137397193
Kepler-39 b,Kepler-39,13.9,6388.1,13.0,897.0,90.22,0.164,21.08721,0.112,6350.0,1.4,1.29,0.34593,4.4,2,Outside HZ,0.3356145662784835
Kepler-107 b,Kepler-107,1.536,3.8,5.8,1592.0,1073.0,0.04544,3.1800218,0.1,5854.0,1.447,1.238,0.36449,4.21,3,Outside HZ,0.5194591612873782
Kepler-1645 b,Kepler-1645,1.78,3.82,3.72,953.7554317634068,138.538,0.1285,16.1779561,0.0,5812.0,1.02,1.02,0.33586,4.43,3,Outside HZ,0.6064290132246347
K2-412 b,K2-412,2.116,5.13,2.98,1100.64,243.518,0.0586,5.9382,,5590.0,0.977,0.893,-0.07054,4.412,3,Outside HZ,0.5450003648379023
Kepler-360 c,Kepler-360,2.1,5.06,3.0,967.173084653501,146.5,0.075,7.186434,0.0,6053.0,1.058,0.994,-0.13236,4.423,3,Outside HZ,0.5738480671363658
Kepler-1661 b,Kepler-1661,3.87,17.0,1.6,243.0,0.88,0.633,175.06,0.057,5100.0,0.762,0.841,-0.51299,4.66,0,Conservative HZ,0.6663265831140273
Kepler-1828 b,Kepler-1828,2.11598626,5.13,2.98,870.7982325196267,96.27,0.0924,10.2737999,0.0,5806.0,0.899,0.996,-0.11128,4.528,0,Outside HZ,0.5956683192851803
HD 101930 b,HD 101930,10.6,79.4575,0.367,417.04,5.4444,0.3,70.46,0.11,5108.0,0.86,0.57,-0.3098,4.33,1,Outside HZ,0.4081189613017857
K2-157 d,K2-157,5.16,23.3,0.932,429.1,6.46,0.309,66.5,0.5,5334.0,0.86,0.89,-0.2102,4.45,0,Outside HZ,0.5469405145077327
EPIC 201615463 c,K2-166,1.22,1.98,5.99,,,,3.80464,,5960.0,1.61,1.073,0.45848,4.09,3,Unknown,
K2-15 b,K2-15,2.48,6.71,2.42,731.7371512015858,48.0,0.091,11.8104,,5131.0,0.68,0.72,-0.45314,4.571,0,Outside HZ,0.6025164063768039
Kepler-54 d,Kepler-54,1.53,12.0946,9.2,378.1899117988736,3.425,0.126,20.995694,0.0,4252.0,0.554,0.518,-1.30103,4.73,0,Outside HZ,0.7665046459378377
Kepler-535 b,Kepler-535,2.36,6.17,2.58,1376.9693020687273,601.891,0.06011,4.903321551,0.0,6123.0,1.27,1.18,0.3406,4.3,3,Outside HZ,0.48128464606309035
Kepler-1530 b,Kepler-1530,1.64,3.33,4.15,1205.4824284106635,353.561,0.03553,2.5904434,0.0,5477.0,0.88,0.92,-0.31086,4.52,3,Outside HZ,0.5671618511706541
Kepler-969 b,Kepler-969,2.07,4.94,3.06,465.0,10.166,0.19726,34.1731714,0.0,5214.0,0.82,0.92,-0.38876,4.57,0,Outside HZ,0.7410178212904583
Kepler-1324 b,Kepler-1324,1.51,2.89,4.61,895.0,98.414,0.0466,4.115844679,0.0,4776.0,0.73,0.78,-0.67302,4.61,3,Outside HZ,0.6504484606687173
HIP 67851 c,HIP 67851,12.7,2204.77565936,5.91,255.43,0.7091,4.55,3128.41,0.3,4840.0,5.45,1.28,1.16673,3.11,1,Conservative HZ,0.5626401173315817
TOI-1694 c,TOI-1694,13.8,297.0,0.621,691.4,38.2,0.1,393.1,0.0,5058.0,0.8036,0.853,-0.41794,4.558,1,Outside HZ,0.3541827023274445
HD 115404 A c,HD 115404 A,12.5,3279.67133183,9.23,61.22,0.0023,11.364,15319.22517,0.211,5019.17,0.727007,0.83,-0.5197,4.63407,1,Conservative HZ,0.3177078933316811
TOI-5322 b,TOI-5322,16.6117094,184.02264765,0.22,1350.0,554.0,0.0604,5.4233207,0.055,5692.0,1.462,0.998,0.3075,4.11,2,Outside HZ,0.22367611080314295
HD 290327 b,HD 290327,13.3,772.3269,1.8,139.7,0.0616,3.43,2443.0,0.08,5505.0,0.95,0.84,-0.14,4.41,1,Outside HZ,0.43170234306945865
Kepler-274 b,Kepler-274,1.54,2.99,4.5,961.0,147.812,0.101,11.634788,0.0,6023.0,1.007,0.883,0.2013,4.44,3,Outside HZ,0.6300550648460437
TOI-163 b,TOI-163,16.690201,387.7526,0.49,1726.9377398463287,1489.1126,0.058,4.231306,0.0,6495.0,1.648,1.4352,0.63649,4.187,2,Outside HZ,0.23007140723002084
Kepler-183 b,Kepler-183,2.06,4.9,3.08,1139.0620417130685,281.845,0.064,5.687945,0.0,5888.0,0.958,0.99,0.026,4.502,3,Outside HZ,0.5421047130151854
Kepler-368 b,Kepler-368,3.26,10.7,1.7,895.3187524892775,107.58,0.186,26.84768,0.0,5502.0,2.019,1.165,0.56235,3.903,0,Outside HZ,0.5096125047663985
K2-84 b,K2-84,2.41,6.39,2.51,1019.22,178.0,0.0665,6.4215,,5652.0,0.93,0.95,-0.42274,4.481,3,Outside HZ,0.5383117054811521
K2-409 b,K2-409,2.482,6.72,2.42,,,,1.908084,,5742.0,1.228,0.886,0.17248,4.204,3,Unknown,
Kepler-1385 b,Kepler-1385,0.85,0.543,4.86,1755.8802241752678,1591.477,0.04262,2.88879862,0.0,5732.0,1.29,1.15,0.45032,4.27,3,Outside HZ,0.513876677989525
Kepler-527 b,Kepler-527,2.84,8.45,2.03,968.072982365425,147.046,0.11646,13.28535633,0.0,6388.0,1.45,1.28,0.32269,4.22,3,Outside HZ,0.5194778294439266
HD 80883 b,HD 80883,12.8,1748.0562385,4.58,88.66,0.0103,6.462,6383.78352,0.203,5177.91,0.814842,0.88,-0.36654,4.5604,1,Conservative HZ,0.4012795848441647
Kepler-232 c,Kepler-232,3.83,14.0,1.37,913.3739940754601,116.524,0.101,11.379349,0.0,5847.0,0.968,0.97,0.05183,4.495,0,Outside HZ,0.47628564233749626
Kepler-1160 b,Kepler-1160,2.14,5.22,2.93,839.0,93.308,0.0755,7.97034958,0.0,5519.0,0.89,0.92,-0.34326,4.51,0,Outside HZ,0.6015789416152022
gam Psc b,gam Psc,13.6,425.89006538,0.93,666.07,33.5227,1.32,555.1,0.204,4742.0,11.2,0.99,1.76649,2.33,1,Outside HZ,0.38108566333827254
HD 190647 b,HD 190647,13.4,630.89255,1.44,214.19,0.3978,2.231,1176.45,0.224,5656.0,1.376,1.069,0.29667,4.162,1,Conservative HZ,0.4790572788008895
HD 37605 b,HD 37605,13.2,854.9627,2.04,465.76,7.8531,0.277,55.01292,0.6745,5329.0,0.91,0.94,-0.22,4.511,1,Outside HZ,0.47337132084629807
MWC 758 c,MWC 758,,,,49.436167599082054,0.001,100.0,,,7314.0,2.01446,1.5,1.01963,4.04855,0,Outside HZ,
Kepler-949 c,Kepler-949,2.97,9.11,1.91,634.8732400620971,27.2,0.1394,20.99757968,0.0,5211.0,0.895,0.817,-0.44164,4.447,0,Outside HZ,0.5948044128938417
